Country,country_code,Region,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1
Chile,CHL,Latin America & Caribbean,CO2 emissions (metric tons per capita),2299124713.0,2171133484.0,2209941852.0,2317687556.0,2515821652.0,2709851091.0,3078005784.0,3468768605.0,3472487431.0,358970615.0,3286328366.0,3121271618.0,3131771583.0,3167262617.0,3432413196.0,3458629046.0,3494449666.0,3906183578.0,4069245883.0,3875949531.0,4087904661.0,4437266283.0,4506229076.0,4723555077.0,4311060938.0,4576124117.0,4749830077.0,4714019984.0,4624338351.0,4821118299.0,4821118299.0
China,CHN,East Asia & Pacific,CO2 emissions (metric tons per capita),1914542564.0,2000538765.0,207574444.0,2244840637.0,232219225.0,2563478593.0,2521875898.0,2547901551.0,2605836859.0,2517419885.0,2650412428.0,2774761175.0,2975679521.0,3427437253.0,3954107458.0,446770003.0,4910276132.0,5306366015.0,5435075622.0,5798318754.0,6335417691.0,6901344429.0,7046182675.0,7324147115.0,7294235506.0,7146449357.0,7115385005.0,7230985031.0,7487331894.0,7605936961.0,7605936961.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,CO2 emissions (metric tons per capita),227256089.0,22568426.0,216196337.0,223032003.0,224965523.0,237327972.0,276165392.0,328471818.0,320089148.0,426007728.0,394417144.0,385094025.0,396946561.0,301711176.0,304387853.0,320357185.0,303920338.0,29523374.0,330008281.0,300610999.0,309259106.0,291031488.0,373134534.0,393435075.0,406222759.0,422368807.0,402556792.0,432123221.0,406474439.0,421129515.0,421129515.0
Cameroon,CMR,Sub-Saharan Africa,CO2 emissions (metric tons per capita),246178169.0,574233855.0,548021965.0,448535384.0,349180537.0,344118052.0,340710332.0,338807137.0,342303589.0,316954107.0,335826918.0,323939303.0,3136156.0,310103009.0,296651275.0,283081514.0,279306978.0,327277496.0,331901941.0,355231325.0,344620171.0,325737695.0,320219438.0,341980233.0,363726897.0,363115439.0,379494758.0,373279083.0,380310156.0,364424922.0,364424922.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,CO2 emissions (metric tons per capita),91875589.0,48456844.0,39642237.0,48949095.0,54902777.0,50750141.0,53090425.0,5179433.0,50836157.0,45514319.0,34602936.0,32418904.0,33084915.0,38891149.0,36556273.0,40338851.0,40298316.0,42255675.0,42210719.0,40032941.0,4104464.0,45239954.0,41002162.0,55494204.0,69678432.0,42363694.0,30714898.0,35012815.0,37112771.0,36985586.0,36985586.0
"Congo, Rep.",COG,Sub-Saharan Africa,CO2 emissions (metric tons per capita),1357807819.0,1316923666.0,1257055879.0,1050830508.0,782572193.0,975057728.0,1137907578.0,1140452477.0,1314518552.0,1303303809.0,1390922869.0,1317617226.0,833742146.0,948071795.0,1002715302.0,1189695728.0,1276319812.0,1070657483.0,1086878789.0,1167559259.0,1268210657.0,1224162351.0,1166246226.0,1152991586.0,1095638253.0,1165546016.0,1104196831.0,1058563169.0,1237519175.0,1349316017.0,1349316017.0
Colombia,COL,Latin America & Caribbean,CO2 emissions (metric tons per capita),1472091184.0,1494149829.0,152545272.0,1592418764.0,1587852986.0,1628436527.0,1581869344.0,1701578179.0,1679686277.0,1420532198.0,1472118383.0,1464131171.0,1388856179.0,1352573854.0,1333540814.0,1351537304.0,1335388783.0,1353071942.0,1350808645.0,1385696614.0,1405488898.0,151326854.0,1512727212.0,1653063497.0,1686264961.0,1688318124.0,1716241161.0,1533229136.0,1582527692.0,1609870831.0,1609870831.0
Comoros,COM,Sub-Saharan Africa,CO2 emissions (metric tons per capita),170068854.0,165143805.0,160383454.0,155808311.0,15142338.0,168281468.0,163724738.0,159376837.0,174627752.0,189088461.0,184380059.0,197879096.0,19315867.0,24004952.0,25115953.0,245248324.0,271380387.0,17143997.0,167369873.0,20794622.0,246485411.0,212290796.0,221035685.0,256233552.0,223863893.0,244393419.0,276521906.0,344026836.0,360437441.0,376076363.0,376076363.0
Cabo Verde,CPV,Sub-Saharan Africa,CO2 emissions (metric tons per capita),295899134.0,288826182.0,309194604.0,300499649.0,292235308.0,310649049.0,353952768.0,37105935.0,387866564.0,451890329.0,513805006.0,550836468.0,632118389.0,689003728.0,722703201.0,950254188.0,1065709517.0,968284491.0,998240579.0,1047944468.0,1096126252.0,1142609706.0,104900428.0,996599817.0,964736936.0,952852841.0,1035508551.0,1097676412.0,1121810223.0,1181955675.0,1181955675.0
Costa Rica,CRI,Latin America & Caribbean,CO2 emissions (metric tons per capita),920038109.0,955627946.0,1262731913.0,1239510862.0,1402208667.0,135664009.0,1247122739.0,1207329377.0,1319700633.0,1294580674.0,1249252657.0,1343554927.0,1346038764.0,1392873768.0,1405865264.0,1463071784.0,1509635072.0,1725458621.0,1684918829.0,1592659919.0,1553293393.0,1603682692.0,1589162765.0,1640619591.0,163281817.0,155534308.0,164920306.0,1668702085.0,1674186481.0,1632471558.0,1632471558.0
